100, 110, 120
100, 110, 130
100, 110, 140
100, 110, 150
100, 110, 160
100, 110, 170
100, 110, 180
100, 110, 190
100, 110, 200
100, 110, 210
100, 120, 130
100, 120, 140
100, 120, 150
100, 120, 160
100, 120, 170
100, 120, 180
100, 120, 190
100, 120, 200
100, 120, 210
100, 130, 140
100, 130, 150
100, 130, 160
100, 130, 170
100, 130, 180
100, 130, 190
100, 130, 200
100, 130, 210
100, 140, 150
100, 140, 160
100, 140, 170
100, 140, 180
100, 140, 190
100, 140, 200
100, 140, 210
100, 150, 160
100, 150, 170
100, 150, 180
100, 150, 190
100, 150, 200
100, 150, 210
100, 160, 170
100, 160, 180
100, 160, 190
100, 160, 200
100, 160, 210
100, 170, 180
100, 170, 190
100, 170, 200
100, 170, 210
100, 180, 190
100, 180, 200
100, 180, 210
