80, 90, 100
80, 90, 110
80, 90, 120
80, 90, 130
80, 90, 140
80, 90, 150
80, 90, 160
80, 90, 170
80, 90, 180
80, 90, 190
80, 100, 110
80, 100, 120
80, 100, 130
80, 100, 140
80, 100, 150
80, 100, 160
80, 100, 170
80, 100, 180
80, 100, 190
80, 110, 120
80, 110, 130
80, 110, 140
80, 110, 150
80, 110, 160
80, 110, 170
80, 110, 180
80, 110, 190
80, 120, 130
80, 120, 140
80, 120, 150
80, 120, 160
80, 120, 170
80, 120, 180
80, 120, 190
80, 130, 140
80, 130, 150
80, 130, 160
80, 130, 170
80, 130, 180
80, 130, 190
80, 140, 150
80, 140, 160
80, 140, 170
80, 140, 180
80, 140, 190
80, 150, 160
80, 150, 170
80, 150, 180
80, 150, 190
80, 160, 170
80, 160, 180
80, 160, 190
